reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ad35c85e-9bb3-44eb-8ec9-753742891378,Boy Ms,https://play-lh.googleusercontent.com/a-/ALV-UjWXX3inTLOBYGvuHmOjXVTcx_S6Vg8BL96Ei_eL9LYsCSyao9CR,tambahin manhwa no sensor,5,0,3.4.1,2024-08-25 11:19:40,,,3.4.1
041590fc-f0ca-4495-aa7a-6d5322fc0e3b,Azmi Putri,https://play-lh.googleusercontent.com/a/ACg8ocJIX9q4PpyPZjnOCgEKssC4iaMMlusoe-damMxQ921SJXID1A=mo,mayan,5,0,3.4.1,2024-08-25 11:15:46,,,3.4.1
4d396a12-6ed5-4e38-b4ba-905c62807531,Setyawan Setyawan,https://play-lh.googleusercontent.com/a/ACg8ocIhFZZk-ODaP-XWchGhEhY_49WzuNwd947EIhP85ShbA9NUmg=mo,aplikasinya bagus,5,0,3.4.1,2024-08-25 11:13:40,,,3.4.1
7493e525-8733-4f74-a27b-3187958ca15e,Rahma Siti,https://play-lh.googleusercontent.com/a-/ALV-UjWRvf04YRFw6ZlcUJFb-LvlUGdMXvorI9_YYWrbhZArWjhG3aoG,apk nya sangat bagus,5,0,3.4.0,2024-08-25 11:03:07,,,3.4.0
95486960-a5b1-4094-b231-089f8a042140,Azka Samsung,https://play-lh.googleusercontent.com/a/ACg8ocJ5kr38kFareoueKZZ8hv1_Y6tdWqvq3WpV3lS7KLqc_BeZYQ=mo,aku suka dgn webtonn asikkkk😊😊😊🧡,5,0,3.3.7,2024-08-25 10:57:11,,,3.3.7
034e05d6-07ee-4fa6-bee8-0aa3455c28e6,Veibby Nussy,https://play-lh.googleusercontent.com/a-/ALV-UjUiN7zP1WFodFHUgjT-BqDinINZyIp2w0L9fshj_2uVEvfmuKU,bagus banget bisa banget buat ngisi waktu luang,4,0,3.4.0,2024-08-25 10:41:57,,,3.4.0
2a13ae8c-2a97-42d2-a3f1-baa5d13de7f9,Precilya Palembang,https://play-lh.googleusercontent.com/a/ACg8ocKo4AQtUeYGOrdVxM_xvQT6eHbiqYE40wdZssWGgPib5wXu7Q=mo,keren,5,0,3.4.0,2024-08-25 10:24:03,,,3.4.0
48314259-b6a4-423b-a6ae-315b0d200543,Muhammad Azrul,https://play-lh.googleusercontent.com/a-/ALV-UjVvhTZmph1JNpoqJzXfUpfA6TBuS3L0bgBsfqIytpiDr241Ikk,ok banget,5,0,,2024-08-25 10:21:50,,,
a5b2a431-0f08-4b33-a48e-b0d4fd2d6ceb,lathifatul iftinan,https://play-lh.googleusercontent.com/a-/ALV-UjUdfNUcyu4dTpTBpWySh1iwvXQ8ob43fBJLpzW6Ktrc_Z7v7FLC,Seru,5,0,3.4.1,2024-08-25 10:15:54,,,3.4.1
77bd76b9-ab6c-454f-81f6-34f7122f0be9,Indri Feronika,https://play-lh.googleusercontent.com/a/ACg8ocJffy6BP8fYGqr_OUPv5gsoqSn9VsYJto_6bbiwy9AbCRP2wg=mo,Good,5,0,3.4.1,2024-08-25 09:34:12,,,3.4.1
